Recording,Pipeline,Latency,Error,MinError,MaxSpeed,MeanSpeed,DlydReps
Synthetic_73x57_high_241110_150215_v1,gpu,8,3.15,1.657,0.432,0.31,0
Synthetic_73x57_high_241110_150227_v1,gpu,6,2.738,1.509,0.445,0.31,0
Synthetic_73x57_high_241110_150240_v1,gpu,7,2.982,1.657,0.438,0.309,0
Synthetic_73x57_high_241110_150252_v1,gpu,6,2.902,1.637,0.469,0.323,0
Synthetic_73x57_high_241110_150305_v1,gpu,8,3.165,1.651,0.432,0.308,0
Synthetic_85x64_high_241110_150432_v1,gpu,8,3.129,1.47,0.446,0.324,0
Synthetic_85x64_high_241110_150445_v1,gpu,7,2.71,1.301,0.44,0.331,0
Synthetic_85x64_high_241110_150457_v1,gpu,5,2.441,1.206,0.459,0.346,0
Synthetic_85x64_high_241110_150510_v1,gpu,8,3.065,1.447,0.431,0.325,0
Synthetic_85x64_high_241110_150522_v1,gpu,6,2.397,1.178,0.449,0.338,0
Synthetic_96x70_high_241110_150652_v1,gpu,6,2.807,1.377,0.455,0.351,0
Synthetic_96x70_high_241110_150704_v1,gpu,7,2.833,1.346,0.431,0.342,0
Synthetic_96x70_high_241110_150717_v1,gpu,7,2.917,1.332,0.431,0.346,0
Synthetic_96x70_high_241110_150729_v1,gpu,8,3.431,1.733,0.44,0.342,0
Synthetic_96x70_high_241110_150742_v1,gpu,8,3.42,1.677,0.442,0.343,0
Synthetic_106x76_high_241110_150913_v1,gpu,7,2.77,1.386,0.42,0.344,0
Synthetic_106x76_high_241110_150926_v1,gpu,7,2.873,1.375,0.434,0.35,0
Synthetic_106x76_high_241110_150938_v1,gpu,8,3.53,1.804,0.415,0.35,0
Synthetic_106x76_high_241110_150951_v1,gpu,8,3.199,1.481,0.425,0.346,0
Synthetic_106x76_high_241110_151003_v1,gpu,7,3.157,1.678,0.454,0.361,0
Synthetic_115x81_high_241110_151137_v1,gpu,7,2.887,1.388,0.429,0.35,0
Synthetic_115x81_high_241110_151149_v1,gpu,7,2.874,1.35,0.435,0.354,0
Synthetic_115x81_high_241110_151202_v1,gpu,7,2.903,1.343,0.433,0.35,0
Synthetic_115x81_high_241110_151214_v1,gpu,6,2.788,1.346,0.463,0.367,0
Synthetic_115x81_high_241110_151226_v1,gpu,8,3.179,1.481,0.463,0.353,0
Synthetic_124x86_high_241110_151402_v1,gpu,6,2.546,1.146,0.446,0.368,0
Synthetic_124x86_high_241110_151415_v1,gpu,7,3.065,1.408,0.453,0.356,0
Synthetic_124x86_high_241110_151427_v1,gpu,6,2.655,1.181,0.452,0.363,0
Synthetic_124x86_high_241110_151440_v1,gpu,7,2.695,1.192,0.432,0.364,0
Synthetic_124x86_high_241110_151452_v1,gpu,7,2.776,1.193,0.414,0.356,0
Synthetic_131x91_high_241110_151629_v1,gpu,7,2.66,1.188,0.429,0.359,0
Synthetic_131x91_high_241110_151641_v1,gpu,6,2.697,1.229,0.469,0.37,0
Synthetic_131x91_high_241110_151654_v1,gpu,7,2.771,1.145,0.411,0.363,0
Synthetic_131x91_high_241110_151706_v1,gpu,7,2.567,1.11,0.427,0.355,0
Synthetic_131x91_high_241110_151719_v1,gpu,6,2.767,1.255,0.456,0.374,0
Synthetic_139x96_high_241110_151857_v1,gpu,7,2.91,1.204,0.427,0.367,0
Synthetic_139x96_high_241110_151910_v1,gpu,7,2.856,1.225,0.433,0.37,0
Synthetic_139x96_high_241110_151922_v1,gpu,7,2.812,1.211,0.428,0.358,0
Synthetic_139x96_high_241110_151934_v1,gpu,6,2.431,0.997,0.446,0.379,0
Synthetic_139x96_high_241110_151947_v1,gpu,6,2.627,1.122,0.464,0.368,0
Synthetic_146x100_high_241110_152128_v1,gpu,6,2.454,1.009,0.43,0.36,0
Synthetic_146x100_high_241110_152140_v1,gpu,7,2.686,1.071,0.44,0.365,0
Synthetic_146x100_high_241110_152153_v1,gpu,7,2.631,1.066,0.417,0.365,0
Synthetic_146x100_high_241110_152205_v1,gpu,7,2.72,1.102,0.434,0.369,0
Synthetic_146x100_high_241110_152218_v1,gpu,6,2.444,0.953,0.427,0.369,0
Synthetic_153x104_high_241110_152400_v1,gpu,6,2.535,0.968,0.442,0.367,0
Synthetic_153x104_high_241110_152413_v1,gpu,6,2.625,1.005,0.449,0.38,0
Synthetic_153x104_high_241110_152425_v1,gpu,6,2.463,0.94,0.447,0.374,0
Synthetic_153x104_high_241110_152437_v1,gpu,6,2.472,0.966,0.432,0.366,0
Synthetic_153x104_high_241110_152450_v1,gpu,6,2.422,0.951,0.449,0.37,0
Synthetic_160x108_high_241110_152634_v1,gpu,6,2.551,0.94,0.447,0.375,0
Synthetic_160x108_high_241110_152647_v1,gpu,7,2.636,0.963,0.427,0.367,0
Synthetic_160x108_high_241110_152659_v1,gpu,6,2.349,0.91,0.436,0.366,0
Synthetic_160x108_high_241110_152712_v1,gpu,6,2.513,0.96,0.423,0.372,0
Synthetic_160x108_high_241110_152724_v1,gpu,6,2.428,0.891,0.442,0.377,0
Synthetic_166x112_high_241110_152911_v1,gpu,6,2.595,0.868,0.446,0.382,0
Synthetic_166x112_high_241110_152923_v1,gpu,6,2.547,0.869,0.433,0.366,0
Synthetic_166x112_high_241110_152936_v1,gpu,7,2.548,0.879,0.423,0.367,0
Synthetic_166x112_high_241110_152948_v1,gpu,6,2.608,0.911,0.445,0.373,0
Synthetic_166x112_high_241110_153001_v1,gpu,6,2.528,0.87,0.441,0.369,0
Synthetic_172x115_high_241110_153149_v1,gpu,6,2.609,0.871,0.461,0.378,0
Synthetic_172x115_high_241110_153202_v1,gpu,6,2.538,0.888,0.417,0.365,0
