Recording,Pipeline,Latency,Error,MinError,MaxSpeed,MeanSpeed,DlydReps
Recording_mixed_241029_180343_v1,spinnaker,11,3.955,2.752,1.601,0.215,0.1745
Recording_mixed_241029_180343_v1,gpu,21,8.111,5.429,1.2,0.214,0.212
Recording_mixed_241029_180343_v2,spinnaker,12,5.395,4.189,1.2,0.215,0.176
Recording_mixed_241029_180343_v2,gpu,21,8.291,5.787,1.011,0.212,0.214
Recording_mixed_241029_180343_v3,spinnaker,12,5.419,4.144,1.2,0.214,0.176
Recording_mixed_241029_180343_v3,gpu,21,8.319,5.55,1.2,0.214,0.2145
Recording_mixed_241029_180343_v4,spinnaker,11,5.339,4.197,1.2,0.214,0.1745
Recording_mixed_241029_180343_v4,gpu,21,8.374,5.594,1.2,0.214,0.2195
Recording_mixed_241029_180343_v5,spinnaker,12,3.573,2.358,1.576,0.214,0.166
Recording_mixed_241029_180343_v5,gpu,22,6.802,4.102,1.407,0.212,0.21
Recording_mixed_241029_180908_v1,spinnaker,11,2.436,1.353,1.143,0.169,0.1895
Recording_mixed_241029_180908_v1,gpu,21,4.967,2.807,1.244,0.169,0.3495
Recording_mixed_241029_180908_v2,spinnaker,11,2.491,1.359,1.144,0.169,0.1945
Recording_mixed_241029_180908_v2,gpu,22,5.72,3.244,1.246,0.169,0.3665
Recording_mixed_241029_180908_v3,spinnaker,11,2.747,1.672,1.144,0.169,0.205
Recording_mixed_241029_180908_v3,gpu,23,5.131,2.669,1.244,0.169,0.3545
Recording_mixed_241029_180908_v4,spinnaker,11,2.309,1.261,1.244,0.169,0.2035
Recording_mixed_241029_180908_v4,gpu,23,6.502,3.996,1.146,0.169,0.396
Recording_mixed_241029_180908_v5,spinnaker,10,2.18,1.197,1.244,0.169,0.1985
Recording_mixed_241029_180908_v5,gpu,22,5.344,2.839,1.143,0.169,0.3245
Recording_mixed_241029_180255_v1,spinnaker,9,1.952,1.217,0.273,0.154,0.0415
Recording_mixed_241029_180255_v1,gpu,19,3.353,1.54,0.274,0.153,0.0825
Recording_mixed_241029_180255_v2,spinnaker,9,1.926,1.156,0.275,0.153,0.041
Recording_mixed_241029_180255_v2,gpu,19,3.445,1.607,0.274,0.153,0.0885
Recording_mixed_241029_180255_v3,spinnaker,9,1.856,1.163,0.277,0.154,0.0405
Recording_mixed_241029_180255_v3,gpu,19,4.014,2.195,0.272,0.154,0.1115
