Recording,Pipeline,Latency,Error,MinError,MaxSpeed,MeanSpeed,DlydReps
Synthetic_256x165_high_241113_184253_v1,spinnaker,9,3.451,0.604,0.466,0.394,0.0
Synthetic_256x165_high_241113_184324_v1,spinnaker,8,3.662,0.653,0.551,0.459,0.0
Synthetic_256x165_high_241113_184355_v1,spinnaker,9,4.663,0.732,0.636,0.516,0.0
Synthetic_256x165_high_241113_184425_v1,spinnaker,8,5.343,0.903,0.74,0.614,0.0
Synthetic_256x165_high_241113_184818_v1,spinnaker,9,3.572,0.64,0.44,0.374,0.0
Synthetic_256x165_high_241113_184848_v1,spinnaker,8,4.222,1.065,0.537,0.465,0.0
Synthetic_256x165_high_241113_184919_v1,spinnaker,9,4.317,0.668,0.595,0.524,0.0
Synthetic_256x165_high_241113_184949_v1,spinnaker,8,4.965,0.795,0.693,0.594,0.0
Synthetic_256x165_high_241113_185022_v1,spinnaker,9,5.828,0.942,0.782,0.663,0.0
Synthetic_251x162_high_241113_185543_v1,spinnaker,8,3.322,0.59,0.428,0.383,0.0
Synthetic_251x162_high_241113_185614_v1,spinnaker,9,4.035,0.682,0.548,0.456,0.0
Synthetic_251x162_high_241113_185644_v1,spinnaker,9,5.03,1.001,0.605,0.529,0.0
Synthetic_251x162_high_241113_185715_v1,spinnaker,8,5.002,0.759,0.722,0.598,0.0
Synthetic_251x162_high_241113_185745_v1,spinnaker,8,5.341,0.939,0.789,0.661,0.0
Synthetic_247x160_high_241113_190308_v1,spinnaker,8,3.289,0.614,0.458,0.402,0.0
Synthetic_247x160_high_241113_190340_v1,spinnaker,8,3.886,0.731,0.515,0.456,0.0
Synthetic_247x160_high_241113_190416_v1,spinnaker,8,4.622,0.732,0.649,0.535,0.0
Synthetic_247x160_high_241113_190448_v1,spinnaker,9,5.487,1.22,0.658,0.585,0.0
Synthetic_247x160_high_241113_190518_v1,spinnaker,9,6.049,0.842,0.786,0.665,0.0
Synthetic_243x157_high_241113_191034_v1,spinnaker,9,3.436,0.649,0.444,0.382,0.0
Synthetic_243x157_high_241113_191111_v1,spinnaker,9,3.983,0.744,0.535,0.456,0.0
Synthetic_243x157_high_241113_191153_v1,spinnaker,8,4.256,0.689,0.606,0.514,0.0
Synthetic_243x157_high_241113_191236_v1,spinnaker,8,5.504,1.229,0.674,0.596,0.0
Synthetic_243x157_high_241113_191315_v1,spinnaker,8,5.723,0.881,0.766,0.654,0.0
Synthetic_238x154_high_241113_191759_v1,spinnaker,9,3.724,0.908,0.425,0.378,0.0
Synthetic_238x154_high_241113_191834_v1,spinnaker,9,4.596,1.01,0.542,0.456,0.0
