Recording,Pipeline,Latency,Error,MinError,MaxSpeed,MeanSpeed,DlydReps
Synthetic_high_241013_160735_v1,spinnaker,8,3.59,0.902,0.45,0.386,0.0
Synthetic_high_241013_160735_v1,gpu,19,7.492,1.153,0.454,0.393,0.0
Synthetic_high_241013_160735_v2,spinnaker,8,3.09,0.611,0.412,0.366,0.0
Synthetic_high_241013_160735_v2,gpu,19,7.278,1.167,0.432,0.386,0.0
Synthetic_high_241013_160735_v3,spinnaker,9,3.322,0.609,0.455,0.376,0.0
Synthetic_high_241013_160735_v3,gpu,19,7.247,1.133,0.417,0.377,0.0
Synthetic_high_241013_160735_v4,spinnaker,9,3.366,0.563,0.411,0.368,0.0
Synthetic_high_241013_160735_v4,gpu,19,7.437,1.159,0.436,0.389,0.0
Synthetic_high_241013_160735_v5,spinnaker,8,3.347,0.835,0.447,0.379,0.0
Synthetic_high_241013_160735_v5,gpu,19,7.288,1.152,0.434,0.381,0.0
Synthetic_high_241013_160735_v6,spinnaker,8,3.149,0.604,0.445,0.382,0.0
Synthetic_high_241013_160735_v6,gpu,19,7.207,1.138,0.43,0.37,0.0
Synthetic_high_241013_160735_v7,spinnaker,8,3.304,0.585,0.449,0.39,0.0
Synthetic_high_241013_160735_v7,gpu,19,7.37,1.175,0.443,0.382,0.0
Synthetic_high_241013_160735_v8,spinnaker,8,3.452,0.63,0.469,0.396,0.0
Synthetic_high_241013_160735_v8,gpu,19,7.494,1.189,0.431,0.391,0.0
Synthetic_high_241013_160735_v9,spinnaker,8,3.225,0.603,0.423,0.375,0.0
Synthetic_high_241013_160735_v9,gpu,19,7.238,1.162,0.438,0.378,0.0
Synthetic_high_241013_160735_v10,spinnaker,8,3.161,0.571,0.439,0.375,0.0
Synthetic_high_241013_160735_v10,gpu,19,6.876,1.094,0.418,0.363,0.0
Synthetic_high_241013_161744_v1,spinnaker,8,3.865,1.062,0.46,0.407,0.0
Synthetic_high_241013_161744_v1,gpu,19,7.712,1.208,0.444,0.405,0.0
Synthetic_high_241013_161744_v2,spinnaker,8,3.514,0.632,0.495,0.412,0.0
Synthetic_high_241013_161744_v2,gpu,19,7.78,1.179,0.457,0.404,0.0
Synthetic_high_241013_161744_v3,spinnaker,9,3.576,0.778,0.483,0.403,0.0
Synthetic_high_241013_161744_v3,gpu,19,7.84,1.24,0.469,0.414,0.0
Synthetic_high_241013_161744_v4,spinnaker,8,3.578,0.611,0.506,0.429,0.0
Synthetic_high_241013_161744_v4,gpu,19,8.303,1.293,0.497,0.433,0.0
Synthetic_high_241013_161744_v5,spinnaker,8,3.407,0.588,0.503,0.411,0.0
Synthetic_high_241013_161744_v5,gpu,19,8.052,1.263,0.48,0.423,0.0
Synthetic_high_241013_161744_v6,spinnaker,9,3.661,0.704,0.489,0.416,0.0
Synthetic_high_241013_161744_v6,gpu,19,7.808,1.216,0.449,0.405,0.0
Synthetic_high_241013_161744_v7,spinnaker,8,3.521,0.787,0.5,0.416,0.0
