x,y,nb_neurons,gpu,mem
73,57,4166,24,425
73,57,4166,25,425
73,57,4166,25,425
73,57,4166,24,425
73,57,4166,24,425
85,64,6869,26,469
85,64,6869,24,469
85,64,6869,24,469
85,64,6869,25,469
85,64,6869,26,469
96,70,9830,29,529
96,70,9830,29,529
96,70,9830,29,529
96,70,9830,29,529
96,70,9830,29,529
106,76,13142,27,603
106,76,13142,27,603
106,76,13142,27,603
106,76,13142,27,603
106,76,13142,27,603
115,81,16400,30,689
115,81,16400,30,689
115,81,16400,30,689
115,81,16400,30,689
115,81,16400,30,689
124,86,20018,35,791
124,86,20018,35,791
124,86,20018,35,791
124,86,20018,35,791
124,86,20018,35,791
131,91,23522,40,901
131,91,23522,40,901
131,91,23522,40,901
131,91,23522,40,901
131,91,23522,40,901
139,96,27563,46,1057
139,96,27563,46,1057
139,96,27563,46,1057
139,96,27563,46,1057
139,96,27563,46,1057
146,100,31190,53,1191
146,100,31190,53,1191
146,100,31190,54,1191
146,100,31190,54,1191
146,100,31190,54,1191
153,104,35041,53,1343
153,104,35041,53,1343
153,104,35041,53,1343
153,104,35041,53,1343
153,104,35041,53,1343
160,108,39116,57,1517
160,108,39116,57,1517
160,108,39116,57,1517
160,108,39116,57,1517
160,108,39116,57,1517
166,112,43094,61,1697
166,112,43094,61,1697
166,112,43094,61,1697
166,112,43094,61,1697
166,112,43094,61,1697
172,115,46703,63,1865
172,115,46703,63,1865
172,115,46703,62,1865
172,115,46703,63,1865
172,115,46703,63,1865
178,119,51041,65,2085
178,119,51041,65,2085
178,119,51041,64,2085
178,119,51041,65,2085
178,119,51041,64,2085
184,122,54962,67,2309
184,122,54962,67,2309
184,122,54962,67,2309
184,122,54962,67,2309
184,122,54962,67,2309
189,125,58654,68,2517
189,125,58654,68,2517
189,125,58654,68,2517
189,125,58654,68,2517
189,125,58654,68,2517
195,129,63504,70,2807
195,129,63504,70,2807
195,129,63504,69,2807
195,129,63504,70,2807
195,129,63504,70,2807
200,132,67468,74,3055
200,132,67468,74,3055
200,132,67468,74,3055
200,132,67468,73,3055
200,132,67468,74,3055
205,135,71552,74,3319
205,135,71552,74,3319
205,135,71552,74,3319
205,135,71552,74,3319
205,135,71552,74,3319
210,138,75756,76,3603
210,138,75756,76,3603
210,138,75756,76,3603
210,138,75756,75,3603
210,138,75756,76,3603
215,141,80080,77,3909
215,141,80080,77,3909
215,141,80080,77,3909
215,141,80080,77,3909
215,141,80080,77,3909
220,143,83771,78,4181
220,143,83771,78,4181
220,143,83771,78,4181
220,143,83771,78,4181
220,143,83771,78,4181
225,146,88315,78,4527
225,146,88315,79,4527
225,146,88315,79,4527
225,146,88315,78,4527
225,146,88315,78,4527
229,149,92510,79,4851
229,149,92510,79,4851
229,149,92510,80,4851
229,149,92510,79,4851
229,149,92510,80,4851
234,152,97282,80,5239
234,152,97282,80,5239
234,152,97282,80,5239
234,152,97282,80,5239
234,152,97282,81,5239
238,154,100856,82,5541
238,154,100856,81,5541
238,154,100856,81,5541
238,154,100856,81,5541
238,154,100856,81,5541
243,157,105836,84,6383
243,157,105836,84,6383
243,157,105836,85,6383
243,157,105836,83,6383
243,157,105836,84,6383
251,162,114229,81,7239
251,162,114229,82,7239
251,162,114229,82,7239
251,162,114229,83,7239
251,162,114229,81,7239
256,165,119525,82,7239
256,165,119525,83,7239
256,165,119525,82,7239
256,165,119525,82,7239
256,165,119525,82,7239
256,165,119525,82,7239
256,165,119525,82,7239
256,165,119525,82,7239
256,165,119525,82,7239
256,165,119525,82,7239
256,165,119525,82,7239
256,165,119525,82,7239
256,165,119525,82,7239
256,165,119525,83,7239
256,165,119525,82,7239
256,165,119525,82,7239
256,165,119525,82,7239
256,165,119525,82,7239
256,165,119525,82,7239
256,165,119525,83,7239
184,122,54962,67,2309
184,122,54962,67,2309
184,122,54962,67,2309
184,122,54962,67,2309
184,122,54962,67,2309
178,119,51041,65,2085
178,119,51041,65,2085
178,119,51041,65,2085
178,119,51041,65,2085
178,119,51041,65,2085
172,115,46703,63,1865
172,115,46703,63,1865
172,115,46703,63,1865
172,115,46703,62,1865
172,115,46703,63,1865
166,112,43094,61,1697
166,112,43094,62,1697
166,112,43094,61,1697
166,112,43094,61,1697
166,112,43094,62,1697
160,108,39116,59,1517
160,108,39116,59,1517
160,108,39116,58,1517
160,108,39116,59,1517
160,108,39116,59,1517
153,104,35041,53,1343
153,104,35041,53,1343
153,104,35041,53,1343
153,104,35041,53,1343
153,104,35041,53,1343
146,100,31190,53,1191
146,100,31190,53,1191
146,100,31190,53,1191
146,100,31190,53,1191
146,100,31190,53,1191
139,96,27563,47,1057
139,96,27563,46,1057
139,96,27563,47,1057
139,96,27563,47,1057
139,96,27563,46,1057
131,91,23522,40,901
131,91,23522,40,901
131,91,23522,40,901
131,91,23522,40,901
131,91,23522,40,901
124,86,20018,35,791
124,86,20018,35,791
124,86,20018,35,791
124,86,20018,35,791
124,86,20018,35,791
115,81,16400,30,689
115,81,16400,31,689
115,81,16400,30,689
115,81,16400,31,689
115,81,16400,30,689
106,76,13142,0,603
106,76,13142,0,11
106,76,13142,0,481
106,76,13142,22,529
106,76,13142,27,529
73,57,4166,0,11
73,57,4166,0,11
73,57,4166,0,11
73,57,4166,0,11
73,57,4166,0,11
