board_id,chip_id,processor_id,vertex,SDRAM
0,0,1,"Command Sender on 0, 0",1752
0,0,2,"SYSTEM:PacketGatherer(0,0)",477250
0,0,3,SYSTEM:ExtraMonitor,488476
0,0,4,output,1125128
0,0,5,output,1125128
0,0,6,output,1125128
0,0,7,output,1125128
0,0,8,output,1125128
0,0,9,output,1125128
0,0,10,output,1125128
0,0,11,output,1125128
0,0,12,output,1125128
0,0,13,output,1125128
0,0,14,output,1125128
0,0,15,output,1125128
0,0,16,output,1125128
0,0,17,output,1125128
0,7,1,SYSTEM:ExtraMonitor,488476
0,7,2,output,1125128
0,7,3,output,1125128
0,7,4,output,1125128
0,7,5,output,1125128
0,7,6,output,1125128
0,7,7,output,1125128
0,7,8,output,1125128
0,7,9,output,1125128
0,7,10,output,1125128
0,7,11,output,1125128
0,7,12,output,1125128
0,7,13,output,1125128
0,7,14,output,1125128
0,7,15,output,1125128
0,7,16,output,1125128
0,7,17,output,1125128
0,14,1,SYSTEM:ExtraMonitor,488476
0,14,2,output,1125128
0,14,3,output,1125128
0,14,4,output,1125128
0,14,5,output,1125128
0,14,6,output,1125128
0,14,7,output,1125128
0,14,8,output,1125128
0,14,9,output,1125128
0,14,10,output,1125128
0,14,11,output,1125128
0,14,12,output,1125128
0,14,13,output,1125128
0,14,14,output,1125128
0,14,15,output,1125128
0,14,16,output,1125128
0,14,17,output,1125128
0,21,1,SYSTEM:ExtraMonitor,488476
0,21,2,output,1125128
0,21,3,output,1125128
0,21,4,output,1125128
0,21,5,output,1125128
0,21,6,output,1125128
0,21,7,output,1125128
0,21,8,output,1125128
0,21,9,output,1125128
0,21,10,output,1125128
0,21,11,output,1125128
0,21,12,output,1125128
0,21,13,output,1125128
0,21,14,output,1125128
0,21,15,output,1125128
0,21,16,output,1125128
0,21,17,output,1125128
0,1,1,SYSTEM:ExtraMonitor,488476
0,1,2,output,1125128
0,1,3,output,1125128
0,1,4,output,1125128
0,1,5,output,1125128
0,1,6,output,1125128
0,1,7,output,1125128
0,1,8,output,1125128
0,1,9,output,1125128
0,1,10,output,1125128
0,1,11,output,1125128
0,1,12,output,1125128
0,1,13,output,1125128
0,1,14,output,1125128
0,1,15,output,1125128
0,1,16,output,1125128
0,1,17,output,1125128
0,8,1,SYSTEM:ExtraMonitor,488476
