board_id,chip_id,processor_id,vertex,SDRAM
0,0,1,"Command Sender on 0, 0",1752
0,0,2,"SYSTEM:PacketGatherer(0,0)",477250
0,0,3,SYSTEM:ExtraMonitor,488476
0,0,4,output,1125128
0,0,5,output,1125128
0,0,6,output,1125128
0,0,7,output,1125128
0,0,8,output,1125128
0,0,9,output,1125128
0,0,10,output,1125128
0,0,11,output,1125128
0,0,12,output,1125128
0,0,13,output,1125128
0,0,14,output,1125128
0,0,15,output,1125128
0,0,16,output,1125128
0,0,17,output,1125128
1,0,1,SYSTEM:ExtraMonitor,488476
2,0,1,SYSTEM:ExtraMonitor,488476
3,0,1,SYSTEM:ExtraMonitor,488476
0,1,1,SYSTEM:ExtraMonitor,488476
0,1,2,output,1125128
0,1,3,output,1125128
1,1,1,SYSTEM:ExtraMonitor,488476
2,1,1,SYSTEM:ExtraMonitor,488476
3,1,1,SYSTEM:ExtraMonitor,488476
4,1,1,SYSTEM:ExtraMonitor,488476
0,2,1,SYSTEM:ExtraMonitor,488476
1,2,1,SYSTEM:ExtraMonitor,488476
2,2,1,SYSTEM:ExtraMonitor,488476
3,2,1,SYSTEM:ExtraMonitor,488476
4,2,1,SYSTEM:ExtraMonitor,488476
5,2,1,SYSTEM:ExtraMonitor,488476
0,3,1,SYSTEM:ExtraMonitor,488476
1,3,1,SYSTEM:ExtraMonitor,488476
2,3,1,SYSTEM:ExtraMonitor,488476
3,3,1,SYSTEM:ExtraMonitor,488476
4,3,1,SYSTEM:ExtraMonitor,488476
5,3,1,SYSTEM:ExtraMonitor,488476
6,3,1,SYSTEM:ExtraMonitor,488476
0,4,1,SYSTEM:ExtraMonitor,488476
1,4,1,SYSTEM:ExtraMonitor,488476
2,4,1,SYSTEM:ExtraMonitor,488476
3,4,1,SYSTEM:ExtraMonitor,488476
4,4,1,SYSTEM:ExtraMonitor,488476
5,4,1,SYSTEM:ExtraMonitor,488476
6,4,1,SYSTEM:ExtraMonitor,488476
7,4,1,SYSTEM:ExtraMonitor,488476
1,5,1,SYSTEM:ExtraMonitor,488476
2,5,1,SYSTEM:ExtraMonitor,488476
3,5,1,SYSTEM:ExtraMonitor,488476
4,5,1,SYSTEM:ExtraMonitor,488476
5,5,1,SYSTEM:ExtraMonitor,488476
7,5,1,SYSTEM:ExtraMonitor,488476
2,6,1,SYSTEM:ExtraMonitor,488476
3,6,1,SYSTEM:ExtraMonitor,488476
4,6,1,SYSTEM:ExtraMonitor,488476
5,6,1,SYSTEM:ExtraMonitor,488476
6,6,1,SYSTEM:ExtraMonitor,488476
7,6,1,SYSTEM:ExtraMonitor,488476
3,7,1,SYSTEM:ExtraMonitor,488476
4,7,1,SYSTEM:ExtraMonitor,488476
5,7,1,SYSTEM:ExtraMonitor,488476
6,7,1,SYSTEM:ExtraMonitor,488476
7,7,1,SYSTEM:ExtraMonitor,488476
